old,notes,ak,hdak,aoc,hdaoc
Blumenkriege (Infanterie +4 Angriff)\n\n<b>Teambonus:<b>,aztec tb,Blumenkriege (Infanterie +4 Angriff)\n<b>Teambonus:<b>,Blumenkriege (Infanterie +4 Angriff)\n<b>Teambonus:<b>,,
100% Treffsicherheit)\n\n<b>Teambonus:<b>,brit tb,100% Treffsicherheit)\n<b>Teambonus:<b>,100% Treffsicherheit)\n<b>Teambonus:<b>,,
großer Reichweite)\n\n<b>Ritterzeit,brit techs,großer Reichweite)\n<b>Ritterzeit,,,
extra Angriff gg. Infanterie)\n\n<b>Teambonus:<b> Mönche,byz tb,extra Angriff gg. Infanterie)\n<b>Teambonus:<b> Mönche,extra Angriff gg. Infanterie)\n<b>Teambonus:<b> Mönche,,
(schnelle Infanterie)\n\n<b>Ritterzeit,celt techs,(schnelle Infanterie)\n<b>Ritterzeit,,,
(schnell schießender Bogenschütze)\n\n<b>Ritterzeit,chin. Tech,(schnell schießender Bogenschütze)\n<b>Ritterzeit,,,
verwundbare Infanterie)\n\n<b>Ritterzeit,eth. Tech,verwundbare Infanterie)\n<b>Ritterzeit,,,
Bogenschützen Infanterie)\n\n<b>Ritterzeit,goth Tech,Bogenschützen Infanterie)\n<b>Ritterzeit,,,
(anti-Infanterie Bogenschütze)\n\n<b>Ritterzeit,inca tech,(anti-Infanterie Bogenschütze)\n<b>Ritterzeit,,,
(Kamel Upgrade)\n\n<b>Ritterzeit,ind. Techs,(Kamel Upgrade)\n<b>Ritterzeit,(Kamel Upgrade)\n<b>Ritterzeit,,
Kamele +1/+1 Rüstung\n\n<b>Spezial,ind. UU,Kamele +1/+1 Rüstung\n<b>Spezial,Kamele +1/+1 Rüstung\n<b>Spezial,,
Kanoniere +1 Reichweite)\n\n<b>Teambonus:<b> Kamele,indian tb,,Kanoniere +1 Reichweite)\n<b>Teambonus:<b> Kamele,,
(anti-Schießpulver Infanterie)\n\n<b>Ritterzeit,ital tech,(anti-Schießpulver Infanterie)\n<b>Ritterzeit,,,
Spezialeinheiten)\n\n<b>Ritterzeit,jap tech,Spezialeinheiten)\n<b>Ritterzeit,,,
Feudalzeit\n\n<b>Spezialeinheit:<b> Samurai,jap UU,Feudalzeit\n<b>Spezialeinheit:<b> Samurai,,,
(Kavallerie-Belagerungswaffe)\n\n<b>Ritterzeit,khmer tech,(Kavallerie-Belagerungswaffe)\n<b>Ritterzeit,,,
gepanzertes Kriegsschiff)\n\n<b>Ritterzeit,korea techs,gepanzertes Kriegsschiff)\n<b>Ritterzeit,gepanzertes Kriegsschiff)\n<b>Ritterzeit,,
Imperialzeit\n\n<b>Spezialeinheiten:<b> Kriegswagen,korean tb,Imperialzeit\n<b>Spezialeinheiten:<b> Kriegswagen,Imperialzeit\n<b>Spezialeinheiten:<b> Kriegswagen,,
(schneller Bogenschütze)\n\n<b>Ritterzeit,maya tech,(schneller Bogenschütze)\n<b>Ritterzeit,,,
Skorpion-ähnliches Schiff)\n\n<b>Ritterzeit,port tech,Skorpion-ähnliches Schiff)\n<b>Ritterzeit,,,
Mamelucken +30 Lebenspunkte)\n\n<b>Teambonus:<b>,sara tb,,Mamelucken +30 Lebenspunkte)\n<b>Teambonus:<b>,,
LP)\n\n<b>Teambonus:<b> Handelseinheiten,spa. Tb,LP)\n<b>Teambonus:<b> Handelseinheiten,,,
(berittener Mönch)\n\n<b>Ritterzeit,spa. Techs,,(berittener Mönch)\n<b>Ritterzeit,,
schießt Pfeile)\n\n<b>Teambonus:<b>,teut tb,,,,
schwerer Nahkampfrüstung)\n\n<b>Ritterzeit,teut Techs,,schwerer Nahkampfrüstung)\n<b>Ritterzeit,,
Felder kosten -33%\n\n<b>Spezial,teut UU,Felder kosten -33%\n<b>Spezial,Felder kosten -33%\n<b>Spezial,,
"Belagerungskanonen, Kriegsgaleonen)\n\n<b>Teambonus:<b>",turk tb,"Belagerungskanonen, Kriegsgaleonen)\n<b>Teambonus:<b>",,"Belagerungskanonen, Kriegsgaleonen)\n<b>Teambonus:<b>",
(Leichter Kanonier)\n\n<b>Ritterzeit,turk techs,(Leichter Kanonier)\n<b>Ritterzeit,,,
"Mauern, Türme, Burgen bauen 33% schneller",korea bonus,Baugeschw. Befestigungen +33%,,,
"(Dorfbewohner +6 Angr., +2/+2 Rüstung,",spa. Bonus,"(Dorfbew. +6 Angr., +2/+2 Rüstung,",,,
kostenlos\n\n<b>Spezialeinheit:<b> Janitschar,turk UU,kostenlos\n<b>Spezialeinheit:<b> Janitschar,,,
<i>Stadtpatrouille/-Wache<i> +4 <i>jeweils<i>,voobly town,<i>Stadtpatrouille/-Wache<i> <i>jeweils<i> +4,,<i>Stadtpatrouille/-Wache<i> <i>jeweils<i> +4,
<i>Stadtpatrouille/-Wache<i> <i>+4<i> <i>jeweils<i>,hd town,,<i>Stadtpatrouille/-Wache<i> <i>jeweils<i> <i>+4<i>,,<i>Stadtpatrouille/-Wache<i> <i>jeweils<i> <i>+4<i>
