en,notes,length (ignore),de,it,es
"Arrow-firing units/buildings, Bombard Towers and Fire Ships fire more accurately at moving targets (by aiming where the unit will go instead of where it is)",,156,"Pfeil-schießende Einheiten/Gebäude, Kanonentürme und Feuertriremen treffen sich bewegende Ziele besser (indem die Bewegung mit eingerechnet wird)","Migliora la precisione di tiro contro bersagli in movimento di unità e costruzioni che tirano frecce, delle torri con bombarda e delle navi incendiarie (mirando verso la posizione in cui il nemico si muoverà invece di quella in cui egli si trova)","Las unidades y edificios que disparan flechas, las Torres de Bombardeo y los Brulotes disparan con más puntería contra objetivos móviles (apuntando a donde la unidad estará en lugar de donde está ahora)"
Arrow-firing units/buildings and Bombard Towers fire more accurately at moving targets (by aiming where the unit will go instead of where it is),,144,Pfeil-schießende Einheiten/Gebäude und Kanonentürme treffen sich bewegende Ziele besser (indem die Bewegung mit eingerechnet wird),Migliora la precisione di tiro contro bersagli in movimento di unità e costruzioni che tirano frecce e delle torri con bombarda (mirando verso la posizione in cui il nemico si muoverà invece di quella in cui egli si trova),Las unidades y edificios que disparan flechas y las Torres de Bombardeo disparan con más puntería contra objetivos móviles (apuntando a donde la unidad estará en lugar de donde está ahora)
Cavalry and Arambai deal +6 bonus attack vs. Buildings. Half of that can be blocked by building armor (e.g. of a castle or masonry research),,140,Kavallerie und Arambai +6 Gebäudeschaden. Die Hälfte davon kann mit Gebäudepanzerung geblockt werden (z.B der Burg oder durch Maurerhandwerk),Potenza di attacco di cavalleria ed arambai contro costruzioni: +6. Metà di essa può essere assorbita dalla corazza di costruzioni (presente nei castelli o con lo sviluppo di muratura),"La Caballería y los Arambai provocan +6 bonus de ataque contra Edificios, la mitad del cual puede ser bloqueado por la armadura de edificio (por ejemplo, la de un castillo o la que se obtiene con la tecnología Albañilería)"
"Monks can convert most enemy units from a distance, but they must stand adjacent to Buildings, Rams, and Trebuchets to convert them",,131,"Mönche können aus der Entfernung bekehren, aber für Gebäude, Rammen und Triboke müssen sie daneben stehen","La maggior parte delle unità nemiche possono essere convertite a distanza, ma i monaci devono essere adiacenti a costruzioni, arieti e trabucchi per convertirli","Los Monjes pueden convertir a la mayoría de unidades enemigas a distancia, pero deben permanecer adyacentes a Edificios, Arietes y Trebuchets para convertirlos"
"A single Trade Cart generates the same amount of gold over time as a Trade Cog, but they are less likely to bump into each other",,128,"Ein einzelner Marktkarren produziert so viel Gold wie eine Handelskogge, sie stoßen aber seltener ineinander","Un singolo carro da carico genera la stessa quantità d'oro nel tempo rispetto a una nave da carico, ma sono meno propensi a intralciarsi a vicenda","Una sola Carreta de Mercancías genera la misma cantidad de oro en el mismo intervalo de tiempo que una Urca Mercante, pero tienden a chocarse menos entre ellas"
"A single Trade Cog generates the same amount of gold over time as a Trade Cart, but they are more likely to bump into each other",,128,"Eine einzelne Handelskogge produziert so viel Gold wie ein Marktkarren, sie stoßen aber öfter ineinander","Una singola nave da carico genera la stessa quantità d'oro nel tempo rispetto a un carro da carico, ma sono più propensi a intralciarsi a vicenda","Una sola Urca Mercante genera la misma cantidad de oro en el mismo intervalo de tiempo que una Carreta de Mercancías, pero tienden a chocarse más entre ellas"
"Improves your civilization. Gives you access to different Buildings, more powerful military units, and stronger technologies",,124,"Verbessert deine Zivilisation. Nutze neue Gebäude, stärkere Einheiten und bessere Technologien","Fa progredire la propria civiltà. Consente l'accesso a differenti costruzioni, unità militari più potenti e tecnologie più avanzate","Mejora tu civilización. Te da acceso a diferentes Edificios, unidades militares más poderosas, y tecnologías más fuertes"
"Before you can advance, you must have a Castle or any two Castle Age Buildings: University, Siege Workshop, or Monastery",,120,"Fortschreiten benötigt eine Burg oder zwei Gebäude der Ritterzeit: Universität, Waffenschmiede oder Kloster","Per progredire è necessario disporre di un castello o di due costruzioni dell'età dei castelli: università, laboratorio d'assedio o monastero","Antes de poder avanzar, debes tener un Castillo o dos edificios cualquiera de la Edad de los Castillos: Universidad, Taller de Maquinaria de Asedio o Monasterio"
"If a group of Monks converts an enemy unit, only one of the Monks loses faith, all others can immediately convert again",,119,"Wenn eine Gruppe Mönche eine Einheit bekehrt, verliert nur ein Mönch Glauben, alle anderen können sofort wieder bekehren","Se un gruppo di monaci converte un'unità nemica, solo uno dei monaci perde fede, gli altri possono effettuare subito un'altra conversione","Si un grupo de Monjes convierte a un enemigo, sólo uno de ellos pierde su fe, los demás pueden realizar otra conversión de nuevo inmediatamente"
"Requires 20 population. Significantly slower than 20 Villagers, usually only efficient if a certain resource is rare",,116,"Benötigt 20 Bevölkerung. Deutlich langsamer als 20 Dorfbewohner, nur effizient falls eine Ressource selten ist","Richiede 20 di popolazione. Molto più lenta di 20 abitanti, di solito risulta utile solo nel caso in cui una delle risorse scarseggi","Requiere 20 de población. Significativamente más lento que 20 Aldeanos, normalmente sólo es eficiente si un determinado recurso escasea"
